bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2020-12-31 01:10:00,2021-1-3 09:58:00,4,11,70,19,8:35:00,50,3658,36.58
2021-1-3 03:10:00,2021-1-4 10:40:00,1,10,64,26,7:27:00,13,,0
2021-1-4 00:27:00,2021-1-5 07:47:00,1,14,66,20,7:04:00,13,4933,49.33
2021-1-5 00:44:00,2021-1-6 07:29:00,2,12,73,15,6:40:00,25,6469,64.69
2021-1-6 00:24:00,2021-1-7 08:23:00,3,24,57,19,7:47:00,38,6018,60.18
2021-1-7 00:28:00,2021-1-8 08:11:00,3,29,45,26,7:22:00,38,4841,48.41
2021-1-8 22:45:00,2021-1-9 06:01:00,2,22,63,15,6:48:00,25,4258,42.58
2021-1-9 02:02:00,2021-1-10 11:43:00,2,13,67,20,9:10:00,25,3816,38.16
2021-1-10 00:45:00,2021-1-11 10:04:00,2,18,60,22,9:16:00,25,2199,21.99
2021-1-11 03:16:00,2021-1-12 06:45:00,0,13,65,22,3:29:00,0,3021,30.21
2021-1-12 00:19:00,2021-1-14 08:12:00,2,15,60,25,7:50:00,25,3656,36.56
2021-1-14 23:37:00,2021-1-15 07:20:00,1,11,69,20,7:42:00,13,5240,52.4
2021-1-15 00:00:00,2021-1-16 08:25:00,3,20,54,26,8:18:00,38,3235,32.35
2021-1-16 23:30:00,2021-1-17 10:10:00,3,14,59,27,10:19:00,38,4772,47.72
2021-1-17 00:25:00,2021-1-18 10:16:00,3,15,65,20,9:24:00,38,3877,38.77
2021-1-18 23:06:00,2021-1-20 06:57:00,4,15,69,16,7:19:00,50,5077,50.77
2021-1-20 00:00:00,2021-1-21 07:50:00,2,18,59,23,7:44:00,25,3777,37.77
2021-1-21 00:09:00,2021-1-22 07:30:00,1,15,55,30,7:11:00,13,6367,63.67
2021-1-22 00:35:00,2021-1-23 08:15:00,2,8,71,21,7:29:00,25,1666,16.66
2021-1-23 23:45:00,2021-1-24 10:30:00,2,22,52,26,10:07:00,25,4749,47.49
2021-1-24 01:26:00,2021-1-25 09:19:00,1,13,57,30,7:49:00,13,3898,38.98
2021-1-25 23:18:00,2021-1-26 07:01:00,2,24,46,30,7:32:00,25,2704,27.04
