date,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc
2022-1-9,3,27,52,21,8:15,38
2022-1-10,1,18,61,21,7:46,13
2022-1-12,2,14,61,25,7:3,25
2022-1-23,1,25,54,21,9:18,13
2022-1-24,3,18,58,24,7:12,38
2022-1-25,2,15,67,18,8:30,25
2022-1-26,1,16,72,12,6:58,13
2022-1-27,3,14,76,10,6:40,38
2022-1-28,2,9,66,25,8:50,25
2022-1-29,2,12,73,15,8:8,25
2022-1-30,3,18,57,25,8:51,38
2022-1-31,2,25,56,19,7:8,25
2022-2-1,1,19,65,16,7:11,13
2022-2-2,1,11,64,25,6:59,13
2022-2-3,2,14,69,17,7:16,25
2022-2-4,1,26,51,23,7:7,13
2022-2-5,2,11,65,24,9:0,25
2022-2-6,1,20,60,20,8:3,13
2022-2-7,3,25,60,15,7:51,38
2022-2-8,2,27,47,26,7:16,25
2022-2-9,1,30,51,19,3:5,13
2022-2-10,4,24,60,16,6:48,50
2022-2-11,7,17,61,22,7:35,88
2022-2-12,2,17,67,16,8:17,25
2022-2-13,2,11,73,16,9:27,25
2022-2-14,3,14,63,23,6:48,38
2022-2-15,1,12,68,20,7:5,13
2022-2-16,3,16,68,16,8:7,38
2022-2-17,2,24,60,16,7:13,25
2022-2-19,4,13,78,9,14:49,50
2022-2-20,0,0,98,2,20:0,0
2022-2-21,4,22,66,12,7:30,50
2022-2-22,4,13,75,12,16:59,50
2022-2-22,4,16,67,17,9:53,50
2022-2-24,5,10,75,15,11:59,63
2022-2-25,3,11,72,17,8:33,38
2022-2-26,0,2,95,3,5:14,0
2022-2-28,2,19,60,21,6:38,25
2022-3-2,2,15,65,20,6:53,25
2022-3-3,4,22,66,12,10:21,50
2022-3-4,3,27,55,18,7:16,38
2022-3-5,2,22,57,21,8:52,25
2022-3-6,4,13,79,8,9:23,50
2022-3-7,4,15,73,12,9:54,50
2022-3-8,3,17,68,15,7:0,38
2022-3-9,3,18,61,21,6:43,38
2022-3-10,3,21,59,20,7:15,38
2022-3-11,4,29,49,22,8:4,50
2022-3-12,2,18,60,22,9:15,25
2022-3-13,4,18,69,13,9:22,50
2022-3-14,3,20,64,16,7:29,38
2022-3-15,3,22,56,22,7:59,38
2022-3-16,1,18,66,16,3:38,13
2022-3-17,3,16,71,13,8:21,38
2022-3-18,3,12,67,21,8:54,38
2022-3-19,4,16,60,24,9:13,50
2022-3-20,2,13,63,24,8:10,25
2022-3-21,6,16,62,22,10:42,75
2022-3-22,3,16,66,18,7:51,38
2022-3-23,2,12,63,25,6:4,25
2022-3-24,0,21,58,21,3:47,0
2022-3-25,2,10,76,14,8:9,25
2022-3-26,3,14,60,26,9:10,38
2022-3-27,4,11,68,21,8:6,50
2022-3-28,2,13,56,31,7:16,25
2022-3-29,3,13,67,20,9:3,38
2022-3-30,2,20,61,19,8:0,25
2022-3-31,4,19,66,15,7:54,50
2022-4-1,2,35,43,22,8:6,25
2022-4-2,4,19,65,16,9:55,50
2022-4-3,4,18,56,26,8:56,50
2022-4-4,3,22,55,23,8:6,38
2022-4-5,3,21,67,12,7:39,38
2022-4-6,2,19,60,21,8:7,25
2022-4-8,2,23,62,15,8:22,25
2022-4-9,2,11,57,32,9:16,25
2022-4-10,2,37,45,18,7:38,25
2022-4-12,2,18,63,19,7:47,25
2022-4-13,4,12,72,16,8:20,50
2022-4-14,2,25,52,23,7:37,25
2022-4-16,1,0,97,3,14:20,13
2022-4-18,3,18,64,18,10:15,38
2022-4-19,3,16,62,22,9:48,38
2022-4-22,5,24,49,27,9:18,63
2022-4-23,8,18,66,16,8:41,100
2022-4-24,3,16,67,17,9:14,38
2022-4-25,4,26,51,23,9:53,50
2022-4-27,8,19,68,13,10:40,100
2022-4-29,3,20,58,22,10:44,38
2022-4-30,2,20,56,24,5:34,25
2022-5-2,2,22,62,16,4:40,25
2022-5-3,3,31,49,20,7:32,38
2022-5-4,1,15,78,7,4:4,13
2022-5-5,4,19,65,16,8:42,50
2022-5-6,2,13,59,28,7:22,25
2022-5-7,3,15,70,15,9:50,38
2022-5-8,2,9,76,15,19:6,25
2022-5-9,4,21,65,14,10:24,50
2022-5-10,2,28,49,23,7:13,25
2022-5-11,2,26,59,15,6:42,25
2022-5-12,2,18,59,23,7:15,25
2022-5-13,2,19,62,19,8:14,25
2022-5-14,2,29,46,25,10:12,25
2022-5-15,2,18,70,12,8:2,25
2022-5-16,2,23,56,21,7:37,25
2022-5-17,2,25,54,21,8:0,25
2022-5-18,2,29,48,23,8:41,25
2022-5-19,1,24,59,17,7:15,13
2022-5-20,2,21,69,10,7:11,25
2022-5-21,1,16,64,20,8:21,13
2022-5-22,2,19,63,18,8:59,25
2022-5-23,2,17,67,16,5:52,25
2022-5-24,3,32,39,29,6:29,38
2022-5-25,2,33,41,26,8:37,25
2022-5-26,2,16,54,30,6:11,25
2022-5-27,3,24,46,30,8:21,38
2022-5-28,2,13,54,33,9:38,25
2022-5-29,4,24,57,19,7:38,50
2022-5-29,5,25,54,21,8:58,63
2022-5-31,0,21,61,18,6:30,0
2022-6-1,3,28,43,29,7:39,38
2022-6-2,2,26,46,28,8:10,25
2022-6-3,5,38,43,19,7:43,63
2022-6-4,5,37,45,18,9:37,63
2022-6-5,3,24,54,22,9:2,38
2022-6-6,3,12,64,24,10:8,38
2022-6-7,3,13,72,15,7:37,38
2022-6-8,4,22,59,19,9:48,50
2022-6-9,5,27,63,10,7:34,63
2022-6-10,1,19,54,27,7:28,13
2022-6-11,5,11,75,14,8:40,63
2022-6-12,4,20,47,33,9:2,50
2022-6-13,3,20,56,24,7:37,38
2022-6-14,5,25,58,17,10:29,63
2022-6-15,2,16,70,14,7:44,25
2022-6-16,4,20,58,22,10:14,50
2022-6-17,5,19,66,15,9:54,63
2022-6-18,2,24,50,26,9:19,25
2022-6-19,1,25,50,25,9:20,13
2022-6-20,3,20,51,29,6:3,38
2022-6-21,3,37,41,22,5:55,38
2022-6-22,4,30,49,21,7:46,50
2022-6-23,2,21,60,19,8:33,25
2022-6-24,2,31,53,16,10:13,25
2022-6-25,2,11,78,11,8:40,25
2022-6-26,2,24,68,8,9:42,25
2022-6-27,3,34,42,24,7:49,38
2022-6-28,1,15,68,17,10:34,13
2022-6-30,3,24,55,21,10:8,38
2022-7-1,4,11,61,28,10:1,50
2022-7-3,4,19,62,19,8:52,50
2022-7-4,5,15,70,15,10:48,63
2022-7-5,6,29,51,20,9:54,75
2022-7-6,5,19,53,28,9:36,63
2022-7-7,2,24,63,13,5:59,25
2022-7-7,1,12,62,26,6:50,13
2022-7-9,5,7,63,30,10:45,63
2022-7-10,2,18,74,8,5:27,25
2022-7-13,4,26,54,20,9:36,50
2022-7-14,1,29,49,22,6:56,13
2022-7-15,4,15,66,19,11:35,50
2022-7-16,6,27,52,21,8:9,75
2022-7-17,3,17,67,16,9:53,38
